slug,name,country,official_url,guide_url,food,stay,transport,visit,shopping,entertainment
qingdao,青岛,中国,https://en.wikivoyage.org/wiki/Qingdao,https://en.wikivoyage.org/wiki/Qingdao,海鲜;啤酒;鲅鱼水饺,市南;五四广场;台东;崂山,地铁;公交;高铁;机场线,栈桥;八大关;崂山;五四广场,台东;万象城;中山路;啤酒街,海滨夜景;啤酒屋;Live house;夜市
xiamen,厦门,中国,https://en.wikivoyage.org/wiki/Xiamen,https://en.wikivoyage.org/wiki/Xiamen,沙茶面;海蛎煎;花生汤,中山路;曾厝垵;厦大;五缘湾,BRT;公交;高铁;轮渡,鼓浪屿;厦门大学;环岛路;南普陀,中山路;沙坡尾;曾厝垵;SM,海边散步;livehouse;夜市;咖啡馆
sanya,三亚,中国,https://en.wikivoyage.org/wiki/Sanya,https://en.wikivoyage.org/wiki/Sanya,海鲜;椰子鸡;清补凉,亚龙湾;海棠湾;三亚湾;大东海,公交;网约车;机场巴士;自驾,亚龙湾;蜈支洲岛;天涯海角;南山,免税城;第一市场;海棠湾;夜市,海滩夜景;水上项目;酒吧;演出
haikou,海口,中国,https://en.wikivoyage.org/wiki/Haikou,https://en.wikivoyage.org/wiki/Haikou,海南粉;清补凉;椰子鸡,骑楼老街;国贸;西海岸;美兰,公交;网约车;高铁;机场线,骑楼老街;假日海滩;火山口;云洞图书馆,骑楼老街;日月广场;免税店;夜市,海边散步;夜市;露营;演出
kunming,昆明,中国,https://en.wikivoyage.org/wiki/Kunming,https://en.wikivoyage.org/wiki/Kunming,过桥米线;菌子火锅;鲜花饼,翠湖;南屏街;滇池;官渡,地铁;公交;高铁;机场线,滇池;翠湖;石林;斗南花市,南屏街;斗南;同德;官渡古镇,夜市;花市;公园散步;茶馆
dali,大理,中国,https://en.wikivoyage.org/wiki/Dali,https://en.wikivoyage.org/wiki/Dali,白族菜;乳扇;鲜花饼,大理古城;洱海;双廊;喜洲,公交;环海车;高铁;包车,洱海;苍山;大理古城;喜洲,古城;双廊;喜洲市集;文创店,古城夜游;音乐酒吧;骑行;咖啡馆
lijiang,丽江,中国,https://en.wikivoyage.org/wiki/Lijiang,https://en.wikivoyage.org/wiki/Lijiang,腊排骨;纳西小吃;米线,丽江古城;束河;白沙;玉龙雪山,公交;包车;高铁;机场巴士,丽江古城;玉龙雪山;束河;白沙古镇,古城;束河;白沙;手作店,古城夜景;民谣酒吧;演出;茶馆
guilin,桂林,中国,https://en.wikivoyage.org/wiki/Guilin,https://en.wikivoyage.org/wiki/Guilin,桂林米粉;啤酒鱼;油茶,象山;两江四湖;阳朔;高铁站,公交;高铁;游船;包车,漓江;象鼻山;阳朔;龙脊梯田,东西巷;阳朔西街;正阳步行街;市集,两江四湖夜游;西街;演出;骑行
zhangjiajie,张家界,中国,https://en.wikivoyage.org/wiki/Zhangjiajie,https://en.wikivoyage.org/wiki/Zhangjiajie,三下锅;土家菜;米粉,武陵源;市区;天门山;火车站,公交;索道;景区车;高铁,武陵源;天门山;大峡谷;黄石寨,溪布街;土特产店;市区商圈;夜市,山景夜游;演出;溪布街;民俗体验
huangshan,黄山,中国,https://en.wikivoyage.org/wiki/Huangshan,https://en.wikivoyage.org/wiki/Huangshan,徽菜;烧饼;毛豆腐,汤口;屯溪;宏村;黄山北站,高铁;景区车;索道;公交,黄山;宏村;西递;屯溪老街,屯溪老街;宏村;伴手礼店;茶叶店,老街夜游;徽州演出;茶馆;摄影
zhuhai,珠海,中国,https://en.wikivoyage.org/wiki/Zhuhai,https://en.wikivoyage.org/wiki/Zhuhai,海鲜;早茶;葡式甜品,拱北;情侣路;横琴;香洲,公交;口岸交通;城轨;网约车,情侣路;长隆海洋王国;圆明新园;横琴,拱北口岸;华发商都;横琴;扬名广场,海边夜景;主题乐园;演出;澳门联游
macau,澳门,中国,https://en.wikivoyage.org/wiki/Macau,https://en.wikivoyage.org/wiki/Macau,葡挞;猪扒包;葡国菜,氹仔;新马路;路环;澳门半岛,公交;轻轨;步行;口岸交通,大三巴;官也街;威尼斯人;路环,官也街;新马路;威尼斯人;免税店,夜景;演出;历史街区;美食散步
taipei,台北,中国台湾,https://en.wikivoyage.org/wiki/Taipei,https://en.wikivoyage.org/wiki/Taipei,牛肉面;卤肉饭;夜市小吃,台北车站;西门町;信义;中山,捷运;公交;台铁;机场捷运,台北101;故宫博物院;西门町;淡水,信义商圈;西门町;中山;夜市,夜市;观景台;Live house;温泉
kaohsiung,高雄,中国台湾,https://en.wikivoyage.org/wiki/Kaohsiung,https://en.wikivoyage.org/wiki/Kaohsiung,海鲜;夜市小吃;牛肉面,美丽岛;驳二;左营;西子湾,捷运;轻轨;公交;台铁,驳二;西子湾;莲池潭;旗津,梦时代;六合夜市;驳二;瑞丰夜市,港湾夜景;夜市;展览;海边骑行
tokyo,东京,日本,https://www.gotokyo.org/en/,https://www.japan.travel/en/destinations/kanto/tokyo/,寿司与拉面;咖啡甜品;居酒屋小食,新宿;银座;浅草;东京站,JR;地铁;Suica/PASMO;机场铁路,浅草寺;明治神宫;上野;涩谷,银座;表参道;下北泽;合羽桥道具街,夜景;美术馆;Live house;主题咖啡馆
osaka,大阪,日本,https://en.wikivoyage.org/wiki/Osaka,https://en.wikivoyage.org/wiki/Osaka,章鱼烧;大阪烧;拉面,难波;梅田;心斋桥;天王寺,地铁;JR;私铁;机场铁路,大阪城;道顿堀;环球影城;通天阁,心斋桥;梅田;难波;黑门市场,道顿堀夜景;环球影城;居酒屋;剧场
kyoto,京都,日本,https://en.wikivoyage.org/wiki/Kyoto,https://en.wikivoyage.org/wiki/Kyoto,怀石料理;抹茶甜品;汤豆腐,京都站;四条河原町;祇园;岚山,公交;地铁;JR;步行,清水寺;伏见稻荷;岚山;金阁寺,锦市场;河原町;祇园;京都站,祇园夜游;茶道;寺院夜间参拜;和服体验
sapporo,札幌,日本,https://en.wikivoyage.org/wiki/Sapporo,https://en.wikivoyage.org/wiki/Sapporo,拉面;成吉思汗烤肉;海鲜,札幌站;大通;薄野;中岛公园,地铁;JR;公交;机场铁路,大通公园;白色恋人工厂;藻岩山;北海道大学,狸小路;札幌站;二条市场;薄野,雪祭;夜景;居酒屋;温泉
fukuoka,福冈,日本,https://en.wikivoyage.org/wiki/Fukuoka,https://en.wikivoyage.org/wiki/Fukuoka,博多拉面;明太子;屋台,博多;天神;中洲;大濠公园,地铁;JR;公交;机场线,太宰府;大濠公园;中洲;福冈塔,天神;博多站;运河城;柳桥市场,屋台;中洲夜景;温泉;海边散步
seoul,首尔,韩国,https://english.visitseoul.net/,https://english.visitkorea.or.kr/,韩牛烤肉;参鸡汤;广藏市场小吃;咖啡馆,明洞;弘大;江南;钟路,地铁;T-money;机场铁路;步行街区,景福宫;北村韩屋村;南山;汉江,明洞;圣水洞;弘大;东大门,K-pop 周边;展览;汗蒸幕;夜景散步
busan,釜山,韩国,https://en.wikivoyage.org/wiki/Busan,https://en.wikivoyage.org/wiki/Busan,海鲜;猪肉汤饭;鱼糕,海云台;西面;南浦洞;广安里,地铁;公交;KTX;机场线,海云台;甘川文化村;广安大桥;札嘎其市场,西面;南浦洞;海云台;市场,海边夜景;夜市;汗蒸幕;酒吧
jeju,济州岛,韩国,https://en.wikivoyage.org/wiki/Jeju,https://en.wikivoyage.org/wiki/Jeju,黑猪肉;海鲜锅;橘子甜品,济州市;西归浦;中文旅游区;海边民宿,公交;包车;自驾;机场巴士,城山日出峰;汉拿山;涉地可支;牛岛,东门市场;免税店;西归浦市场;文创店,海边日落;咖啡馆;夜市;徒步
bangkok,曼谷,泰国,https://www.tourismthailand.org/Destinations/Provinces/Bangkok/219,https://en.wikivoyage.org/wiki/Bangkok,街头小吃;泰式奶茶;船面;海鲜夜市餐,Siam;Sukhumvit;Silom;老城河畔,BTS;MRT;船运;网约车,大皇宫;卧佛寺;郑王庙;创意街区,暹罗商圈;Chatuchak;夜市;本地设计店,屋顶酒吧;按摩;河畔夜景;泰拳表演
chiang-mai,清迈,泰国,https://en.wikivoyage.org/wiki/Chiang_Mai,https://en.wikivoyage.org/wiki/Chiang_Mai,泰北咖喱面;芒果糯米饭;咖啡,古城;宁曼;河畔;夜市区,双条车;网约车;包车;机场车,契迪龙寺;素贴山;宁曼路;夜间动物园,周日夜市;宁曼;瓦洛洛市场;手作店,夜市;按摩;咖啡馆;泰拳
phuket,普吉岛,泰国,https://en.wikivoyage.org/wiki/Phuket,https://en.wikivoyage.org/wiki/Phuket,海鲜;泰南咖喱;椰子甜品,芭东;卡塔;卡伦;普吉镇,网约车;包车;船运;机场车,芭东海滩;普吉镇;神仙半岛;离岛,江西冷;普吉镇;夜市;海滩商店,海滩日落;酒吧街;水上项目;夜市
singapore,新加坡,新加坡,https://www.visitsingapore.com/,https://en.wikivoyage.org/wiki/Singapore,海南鸡饭;叻沙;肉骨茶;小贩中心,滨海湾;乌节路;牛车水;武吉士,MRT;公交;步行连廊;机场地铁,滨海湾花园;鱼尾狮;牛车水;圣淘沙,乌节路;樟宜机场;哈芝巷;本地品牌店,灯光秀;环球影城;夜间动物园;屋顶景观
kuala-lumpur,吉隆坡,马来西亚,https://en.wikivoyage.org/wiki/Kuala_Lumpur,https://en.wikivoyage.org/wiki/Kuala_Lumpur,椰浆饭;肉骨茶;印度煎饼,武吉免登;KLCC;茨厂街;中环,LRT;MRT;Grab;机场快线,双子塔;黑风洞;独立广场;茨厂街,武吉免登;柏威年;中央市场;茨厂街,夜景;夜市;屋顶酒吧;文化表演
penang,槟城,马来西亚,https://en.wikivoyage.org/wiki/Penang,https://en.wikivoyage.org/wiki/Penang,炒粿条;叻沙;煎蕊,乔治市;海边;新关仔角;峇都丁宜,公交;Grab;步行;机场车,乔治市壁画;升旗山;极乐寺;姓氏桥,乔治市;新关仔角;夜市;手作店,夜市;海边日落;咖啡馆;文化街区
langkawi,兰卡威,马来西亚,https://en.wikivoyage.org/wiki/Langkawi,https://en.wikivoyage.org/wiki/Langkawi,海鲜;椰浆饭;热带水果,珍南海滩;瓜镇;丹绒鲁;度假村区,自驾;Grab;包车;船运,天空之桥;珍南海滩;红树林;跳岛,免税店;夜市;瓜镇;海滩店,海滩日落;水上项目;酒吧;游船
hanoi,河内,越南,https://en.wikivoyage.org/wiki/Hanoi,https://en.wikivoyage.org/wiki/Hanoi,越南粉;法棍;蛋咖啡,还剑湖;老城区;西湖;巴亭,Grab;公交;步行;机场巴士,还剑湖;文庙;老城区;胡志明陵,老城区;同春市场;手作店;咖啡街,水上木偶戏;夜市;湖边散步;咖啡馆
ho-chi-minh-city,胡志明市,越南,https://en.wikivoyage.org/wiki/Ho_Chi_Minh_City,https://en.wikivoyage.org/wiki/Ho_Chi_Minh_City,越南粉;法棍;滴漏咖啡,第一郡;滨城;范五老;西贡河,Grab;公交;步行;机场车,中央邮局;红教堂;战争遗迹博物馆;西贡河,滨城市场;第一郡;阮惠街;商场,屋顶酒吧;夜市;河畔夜景;咖啡馆
da-nang,岘港,越南,https://en.wikivoyage.org/wiki/Da_Nang,https://en.wikivoyage.org/wiki/Da_Nang,海鲜;越南粉;咖啡,美溪海滩;市中心;会安;山茶半岛,Grab;包车;公交;机场车,美溪海滩;巴拿山;龙桥;山茶半岛,汉市场;夜市;会安古城;商场,龙桥喷火;海边夜景;夜市;咖啡馆
hoi-an,会安,越南,https://en.wikivoyage.org/wiki/Hoi_An,https://en.wikivoyage.org/wiki/Hoi_An,高楼面;白玫瑰;越南咖啡,古城;河畔;安邦海滩;稻田区,步行;自行车;Grab;包车,会安古城;日本桥;灯笼街;安邦海滩,古城;夜市;裁缝店;手作店,灯笼夜景;夜市;河畔散步;烹饪课
bali,巴厘岛,印度尼西亚,https://en.wikivoyage.org/wiki/Bali,https://en.wikivoyage.org/wiki/Bali,印尼炒饭;猪肋排;椰子甜品,乌布;库塔;水明漾;努沙杜瓦,包车;摩托;Grab;机场车,乌布皇宫;海神庙;梯田;海滩,水明漾;乌布市场;库塔;手作店,海滩日落;SPA;酒吧;传统舞蹈
jakarta,雅加达,印度尼西亚,https://en.wikivoyage.org/wiki/Jakarta,https://en.wikivoyage.org/wiki/Jakarta,印尼炒饭;沙爹;椰浆饭,中区;南区;老城;商圈,地铁;公交;Grab;机场铁路,老城;独立广场;大清真寺;商圈,Grand Indonesia;老城;市场;商场,夜景;咖啡馆;演出;夜市
manila,马尼拉,菲律宾,https://en.wikivoyage.org/wiki/Manila,https://en.wikivoyage.org/wiki/Manila,菲律宾烤肉;海鲜;甜品,马卡蒂;BGC;王城区;帕赛,Grab;轻轨;公交;机场车,王城;黎刹公园;马尼拉湾;国家博物馆,SM Mall;BGC;马卡蒂;市场,海湾日落;酒吧;夜市;演出
cebu,宿务,菲律宾,https://en.wikivoyage.org/wiki/Cebu,https://en.wikivoyage.org/wiki/Cebu,烤乳猪;海鲜;芒果甜品,宿务市;麦克坦;海边度假区;码头,Grab;船运;包车;机场车,麦哲伦十字架;圣婴教堂;墨宝;薄荷联游,SM Seaside;Ayala;市场;伴手礼店,海岛跳岛;潜水;夜市;酒吧
siem-reap,暹粒,柬埔寨,https://en.wikivoyage.org/wiki/Siem_Reap,https://en.wikivoyage.org/wiki/Siem_Reap,高棉菜;鱼酱米线;热带水果,老市场;酒吧街;吴哥区;河畔,突突车;包车;自行车;机场车,吴哥窟;巴戎寺;塔布隆寺;老市场,老市场;夜市;手作店;酒吧街,吴哥日出;夜市;传统舞蹈;酒吧
phnom-penh,金边,柬埔寨,https://en.wikivoyage.org/wiki/Phnom_Penh,https://en.wikivoyage.org/wiki/Phnom_Penh,高棉菜;法棍;咖啡,河畔;皇宫区;BKK;中央市场,突突车;Grab;公交;机场车,皇宫;国家博物馆;中央市场;河畔,中央市场;俄罗斯市场;河畔;商场,河畔夜景;酒吧;夜市;咖啡馆
vientiane,万象,老挝,https://en.wikivoyage.org/wiki/Vientiane,https://en.wikivoyage.org/wiki/Vientiane,老挝烤肉;糯米饭;咖啡,湄公河畔;市中心;凯旋门;夜市区,突突车;公交;步行;机场车,塔銮;凯旋门;湄公河;寺庙,夜市;市中心;手作店;咖啡馆,湄公河日落;夜市;按摩;寺庙散步
luang-prabang,琅勃拉邦,老挝,https://en.wikivoyage.org/wiki/Luang_Prabang,https://en.wikivoyage.org/wiki/Luang_Prabang,老挝咖啡;糯米饭;法棍,古城;湄公河畔;夜市区;香通寺附近,步行;自行车;突突车;船运,香通寺;普西山;光西瀑布;清晨布施,夜市;手作店;咖啡馆;河畔,日落;夜市;寺庙;咖啡馆
yangon,仰光,缅甸,https://en.wikivoyage.org/wiki/Yangon,https://en.wikivoyage.org/wiki/Yangon,缅甸面;咖喱;奶茶,市中心;苏雷塔;茵雅湖;大金塔,出租车;公交;步行;机场车,大金塔;苏雷塔;殖民街区;昂山市场,昂山市场;市中心;手作店;茶馆,大金塔夜景;茶馆;湖边散步;市场
colombo,科伦坡,斯里兰卡,https://en.wikivoyage.org/wiki/Colombo,https://en.wikivoyage.org/wiki/Colombo,咖喱;海鲜;红茶,Fort;Galle Face;Colpetty;海边,突突车;火车;公交;机场车,Galle Face;国家博物馆;寺庙;市场,Pettah;商场;茶叶店;手作店,海边日落;夜市;咖啡馆;酒吧
kandy,康提,斯里兰卡,https://en.wikivoyage.org/wiki/Kandy,https://en.wikivoyage.org/wiki/Kandy,咖喱;红茶;甜点,康提湖;佛牙寺;山景区;市中心,火车;突突车;公交;包车,佛牙寺;康提湖;皇家植物园;茶园,市集;茶叶店;手作店;商场,湖边散步;文化表演;茶馆;夜景
delhi,德里,印度,https://en.wikivoyage.org/wiki/Delhi,https://en.wikivoyage.org/wiki/Delhi,咖喱;烤饼;街头小吃,康诺特广场;老德里;南德里;机场区,地铁;网约车;公交;机场线,红堡;印度门;胡马雍陵;莲花寺,康诺特广场;市场;商场;手作店,老城夜市;文化表演;屋顶餐厅;展览
mumbai,孟买,印度,https://en.wikivoyage.org/wiki/Mumbai,https://en.wikivoyage.org/wiki/Mumbai,咖喱;街头小吃;海鲜,Colaba;Bandra;Fort;机场区,本地火车;地铁;网约车;公交,印度门;海滨大道;象岛石窟;殖民街区,Colaba;Bandra;市场;商场,海滨夜景;酒吧;宝莱坞体验;咖啡馆
jaipur,斋浦尔,印度,https://en.wikivoyage.org/wiki/Jaipur,https://en.wikivoyage.org/wiki/Jaipur,拉贾斯坦菜;奶茶;甜点,老城;风之宫;火车站;度假酒店,网约车;突突车;包车;火车,风之宫;琥珀堡;城市宫殿;阶梯井,老城市场;珠宝店;手作店;纺织品店,宫殿夜景;民俗表演;市场;屋顶餐厅
kathmandu,加德满都,尼泊尔,https://en.wikivoyage.org/wiki/Kathmandu,https://en.wikivoyage.org/wiki/Kathmandu,尼泊尔饺子;咖喱;奶茶,泰米尔;杜巴广场;博达;帕坦,出租车;步行;公交;机场车,杜巴广场;博达哈大佛塔;猴庙;帕坦,泰米尔;手作店;市集;羊绒店,屋顶餐厅;文化表演;咖啡馆;夜市
male,马累,马尔代夫,https://en.wikivoyage.org/wiki/Male,https://en.wikivoyage.org/wiki/Male,海鲜;椰子甜品;咖喱,马累;机场岛;居民岛;度假岛,快艇;水飞;渡轮;机场船,马累鱼市;清真寺;居民岛;沙滩,本地市场;纪念品店;度假村商店;机场店,海滩日落;浮潜;水上活动;星空
dubai,迪拜,阿联酋,https://en.wikivoyage.org/wiki/Dubai,https://en.wikivoyage.org/wiki/Dubai,中东烤肉;海鲜;甜点,Downtown;Marina;Deira;Palm,地铁;出租车;公交;机场线,哈利法塔;迪拜喷泉;老城;沙漠,迪拜购物中心;黄金市场;香料市场;奥莱,喷泉夜景;沙漠营地;游船;屋顶酒吧
abu-dhabi,阿布扎比,阿联酋,https://en.wikivoyage.org/wiki/Abu_Dhabi,https://en.wikivoyage.org/wiki/Abu_Dhabi,中东菜;海鲜;咖啡,滨海大道;雅斯岛;市中心;清真寺附近,出租车;公交;包车;机场车,谢赫扎耶德清真寺;卢浮宫;雅斯岛;总统府,商场;传统市场;雅斯岛;纪念品店,清真寺夜景;主题乐园;海滨散步;演出
doha,多哈,卡塔尔,https://en.wikivoyage.org/wiki/Doha,https://en.wikivoyage.org/wiki/Doha,中东烤肉;椰枣;咖啡,West Bay;Souq Waqif;Corniche;机场区,地铁;出租车;公交;机场线,伊斯兰艺术博物馆;瓦其夫市场;海滨大道;珍珠岛,瓦其夫市场;商场;珍珠岛;手作店,海滨夜景;市场;沙漠体验;博物馆
istanbul,伊斯坦布尔,土耳其,https://en.wikivoyage.org/wiki/Istanbul,https://en.wikivoyage.org/wiki/Istanbul,烤肉;土耳其甜点;红茶,老城;塔克西姆;加拉塔;博斯普鲁斯,地铁;电车;渡轮;机场巴士,圣索菲亚;蓝色清真寺;大巴扎;博斯普鲁斯,大巴扎;香料市场;独立大街;手作店,海峡夜游;土耳其浴;屋顶餐厅;传统表演
samarkand,撒马尔罕,乌兹别克斯坦,https://en.wikivoyage.org/wiki/Samarkand,https://en.wikivoyage.org/wiki/Samarkand,抓饭;烤肉;馕,雷吉斯坦;市中心;火车站;古城,火车;出租车;步行;包车,雷吉斯坦广场;沙赫静达;比比哈努姆;市集,市集;手作店;地毯店;纪念品店,广场夜景;民俗表演;茶馆;市集
almaty,阿拉木图,哈萨克斯坦,https://en.wikivoyage.org/wiki/Almaty,https://en.wikivoyage.org/wiki/Almaty,中亚烤肉;抓饭;甜点,市中心;绿色巴扎;山脚;机场区,地铁;公交;出租车;包车,科克托别;绿色巴扎;大阿拉木图湖;潘菲洛夫公园,绿色巴扎;商场;手作店;纪念品店,山景夜景;酒吧;咖啡馆;滑雪
